bvets motor noise table 0.01,,,,,,,,,,,,
#,0,1,2,3,4,5,6,,,,,
0,0,0,0,0,0,0,0,,,,,
2,0.7,,,,,,,,,,,
7.9,,,,,,,,,,0,,
8,0.7,,,,,,,,,1,,
9,0,,,,,,,,,,,
14,,,,,,,,,,,0,
15,,,,,,,,,,1,1,
15.5,,,,,,,,,,0,,
20,,,,,,,,,0,,,
20.9,,,,,,,,,,,1,
21,,,,,,,,,0.8,,,
21.5,,,,,,,,,,,0,
25.5,,,,,,,,,,,,
26.5,,,,,,,,,,,,
28.5,,,,,,0,,,,,,
29.5,,,,,,0.5,,,0.8,,,
29.6,,,,,,0.8,,,0,,,
31,,,,,,,,,,,,
32.4,,,,,,,0,0,,,,
32.9,,,,,,,1,,,,,
33,,,,,,0.8,,,,,,
34,,,,,,0,,,,,,
35,,,,,,,1,,,,,
37,,,,,,,,,,,,
39,,,,,,,0,1.0,,,,0
50,,,,,,,,0,,,,1.0
60,,,,,,,,0,,,,
80,,,,,,,,0,,,,1.0
