bvets motor noise table 0.01,,,,,,,,,,,,
#,0,1,2,3,4,5,6,,,,,
0,0,0,0,0,0,0,0,,,,,
2,1,,,,,,,,,,,
7.9,,0,,,,,,,,,,
8,1,1,,,,,,,,,,
9,0,,,,,,,,,,,
14.9,,,0,,,,,,,,,
15,,1,1,,,,,,,,,
16,,0,,,,,,,,,,
20.4,,,,0,,,,,,,,
20.5,,,1,,,,,,,,,
21,,,,1,,,,,,,,
21.5,,,0,,,,,,,,,
25.5,,,,0.8,0,,,,,,,
26.5,,,,0.7,0.7,,,,,,,
28,,,,0,1,,,,,,,
28.9,,,,,,0,,,,,,
29,,,,,1,1,,,,,,
30,,,,,0,,,,,,,
32.4,,,,,,,0,0,,,,
32.5,,,,,,1,1,,,,,
34,,,,,,0,,,,,,
35,,,,,,,1,,,,,
39,,,,,,,0,1.0,,,,0
40,,,,,,,,,,,,
50,,,,,,,,0,,,,1.0
60,,,,,,,,0,,,,
80,,,,,,,,0,,,,1.0
